Commune,District,Population,Demand_Beds,Closest_Distance_km,Closest_Hospital,Pop_2016,Pop_2017,Pop_2018,Pop_2019,Pop_2020,Pop_2021,Pop_2022,Pop_2023,Pop_2024
L'Abergement,Jura-Nord vaudois,267,0.5998356164383563,4.4683259369999995,Hôpital d'Orbe,237,248,244,256,256,260,268,270,267
Lausanne,Lausanne,145707,327.34175342465755,0.27240910009999997,Clinique de la Source,139624,139720,139726,140430,140789,141513,144365,145037,145707
Lavey-Morcles,Aigle,1024,2.3004931506849315,10.83780461,Aigle Pôle Physio-Ergo d'Aigle,926,946,931,944,965,979,1022,1014,1024
Lavigny,Morges,1108,2.489205479452055,0.5435825657000001,Institution de Lavigny,1007,999,992,1008,1026,1038,1052,1100,1108
Le Chenit,Jura-Nord vaudois,4792,10.765589041095891,0.3360747978,Hôpital de la Vallée de Joux,4612,4605,4657,4600,4569,4613,4712,4760,4792
Le Lieu,Jura-Nord vaudois,926,2.0803287671232877,8.065855459,Hôpital de la Vallée de Joux,869,875,900,888,881,886,910,925,926
Le Mont-sur-Lausanne,Lausanne,9785,21.982739726027397,2.7775064019999998,Clinique de la Source,8093,8516,8991,9136,9216,9297,9274,9543,9785
Le Vaud,Nyon,1374,3.0867945205479455,3.805471481,Clinique de Genolier,1283,1319,1362,1366,1387,1411,1413,1374,1374
Les Clées,Jura-Nord vaudois,195,0.4380821917808219,4.917543036,Hôpital d'Orbe,181,185,185,187,182,186,192,194,195
Leysin,Aigle,3722,8.361753424657534,4.306970758,Molage,4023,3939,3776,3645,3637,3743,3729,3685,3722
Lignerolle,Jura-Nord vaudois,452,1.0154520547945205,6.096338515999999,Hôpital d'Orbe,417,422,437,435,408,447,462,463,452
L'Isle,Morges,1106,2.4847123287671233,7.287402293,Permanence de Cossonay,1005,1005,1011,1065,1079,1095,1088,1096,1106
Lonay,Morges,2719,6.108438356164384,1.504377446,Hôpital de Morges,2492,2593,2676,2679,2751,2675,2693,2733,2719
Longirod,Nyon,558,1.2535890410958903,4.493306711,Hôpital de Gilly,469,478,482,494,520,541,555,555,558
Lovatens,Broye-Vully,152,0.3414794520547945,5.388202708,Moudon,141,146,136,142,146,143,142,146,152
Lucens,Broye-Vully,4892,10.990246575342466,4.713725906,Moudon,4157,4199,4220,4309,4373,4420,4599,4734,4892
Luins,Nyon,640,1.4378082191780823,2.0583944649999997,Clinique la Lignière,608,613,621,619,630,618,629,637,640
Lully,Morges,824,1.8511780821917807,3.4041006929999997,Hôpital de Morges,795,790,818,825,828,825,833,838,824
Lussery-Villars,Gros-de-Vaud,469,1.0536438356164384,2.640023061,Permanence de Cossonay,459,462,459,459,475,482,473,468,469
Lussy-sur-Morges,Morges,721,1.6197808219178083,2.921370758,Institution de Lavigny,667,687,696,722,740,730,732,719,721
Lutry,Lavaux-Oron,10843,24.359616438356166,3.525131581,Hôpital de Lavaux,10001,10285,10357,10455,10701,10713,10796,10750,10843
Maracon,Lavaux-Oron,565,1.269315068493151,8.57789593,Hôpital psychiatrique Nant,477,492,538,538,547,544,567,569,565
Marchissy,Nyon,492,1.1053150684931508,4.960686569000001,Hôpital de Gilly,455,463,472,481,485,499,508,510,492
Mathod,Jura-Nord vaudois,740,1.6624657534246574,3.709889037,Hôpital de Chamblon,617,611,601,651,655,684,709,725,740
Mauborget,Jura-Nord vaudois,137,0.30778082191780826,8.464771187,Hôpital de Chamblon,119,122,120,128,137,138,134,145,137
Mauraz,Morges,74,0.16624657534246579,6.426682234,Permanence de Cossonay,60,59,57,58,60,65,64,67,74
Mex,Gros-de-Vaud,828,1.860164383561644,5.800620615,Permanence de Cossonay,718,725,718,791,795,817,816,809,828
Mies,Nyon,2194,4.928986301369863,8.961790220000001,Clinique Bois-Bougy,2037,2075,2116,2172,2195,2226,2171,2163,2194
